
MGV-GENOME-0237056_29, VPC-287, NULL
MGV-GENOME-0271607_25, VPC-656, NULL
MGV-GENOME-0336599_75, VPC-69, Siphoviridae
MGV-GENOME-0154744_23, VPC-19138, NULL
MGV-GENOME-0339048_30, VPC-152, NULL
MGV-GENOME-0259086_26, VPC-307, Siphoviridae
MGV-GENOME-0259723_21, VPC-8, NULL
MGV-GENOME-0182148_15, VPC-1387, Siphoviridae
MGV-GENOME-0347985_27, VPC-484, NULL
MGV-GENOME-0338893_34, VPC-27, Myoviridae
MGV-GENOME-0186750_9, VPC-27, Myoviridae
MGV-GENOME-0272690_25, VPC-562, NULL
MGV-GENOME-0171928_17, VPC-8, Siphoviridae
MGV-GENOME-0172879_15, VPC-1916, NULL
MGV-GENOME-0213091_30, VPC-5147, Siphoviridae
MGV-GENOME-0294408_28, VPC-502, Myoviridae
MGV-GENOME-0192742_23, VPC-307, Siphoviridae
MGV-GENOME-0347434_45, VPC-152, NULL
MGV-GENOME-0237271_26, VPC-283, Siphoviridae
MGV-GENOME-0326153_28, VPC-9, Siphoviridae
MGV-GENOME-0301929_40, VPC-4562, NULL
MGV-GENOME-0170973_13, VPC-1916, Siphoviridae
MGV-GENOME-0328955_29, VPC-152, NULL
MGV-GENOME-0245598_29, VPC-502, Myoviridae
MGV-GENOME-0135247_12, VPC-502, NULL
MGV-GENOME-0206590_21, VPC-4591, Siphoviridae
MGV-GENOME-0168153_3, VPC-287, NULL
MGV-GENOME-0265695_31, VPC-3454, Myoviridae
MGV-GENOME-0320638_58, VPC-69, Siphoviridae
MGV-GENOME-0205720_28, VPC-3454, Myoviridae
MGV-GENOME-0219009_38, VPC-8, NULL
MGV-GENOME-0251908_53, VPC-2734, Siphoviridae
MGV-GENOME-0278294_25, VPC-562, NULL
MGV-GENOME-0318535_65, VPC-502, NULL
MGV-GENOME-0235199_20, VPC-562, NULL
MGV-GENOME-0336755_23, VPC-69, Siphoviridae
MGV-GENOME-0260890_23, VPC-307, Siphoviridae
MGV-GENOME-0198219_14, VPC-656, NULL
MGV-GENOME-0273901_29, VPC-3454, NULL
MGV-GENOME-0304609_30, VPC-27, NULL
MGV-GENOME-4415871_31, VPC-287, NULL
MGV-GENOME-0349218_25, VPC-713, Siphoviridae
MGV-GENOME-0343857_40, VPC-27, Myoviridae
MGV-GENOME-0298343_46, VPC-9, Siphoviridae
MGV-GENOME-0329780_72, VPC-152, NULL
MGV-GENOME-0332748_77, VPC-9, Siphoviridae
MGV-GENOME-4382730_27, VPC-8, NULL
MGV-GENOME-4407921_44, VPC-1916, NULL
MGV-GENOME-0334046_43, VPC-152, NULL
MGV-GENOME-0205673_30, VPC-27, NULL
MGV-GENOME-0191602_3, VPC-16679, Siphoviridae
MGV-GENOME-0366887_121, VPC-3444, NULL
MGV-GENOME-0297105_30, VPC-562, NULL
MGV-GENOME-0297051_12, VPC-744, NULL
MGV-GENOME-0236099_38, VPC-307, Siphoviridae
MGV-GENOME-0251404_29, VPC-287, NULL
MGV-GENOME-0331496_66, VPC-268, NULL
MGV-GENOME-0160413_21, VPC-40863, Siphoviridae
MGV-GENOME-0320461_72, VPC-1589, NULL
MGV-GENOME-0228352_46, VPC-283, Siphoviridae
MGV-GENOME-0156337_17, VPC-283, Siphoviridae
MGV-GENOME-0227756_19, VPC-88415, Myoviridae
MGV-GENOME-0165289_15, VPC-713, Siphoviridae
MGV-GENOME-0203799_17, VPC-8, Siphoviridae
MGV-GENOME-0361138_21, VPC-9, NULL
MGV-GENOME-0198090_21, VPC-8, Siphoviridae
MGV-GENOME-0222042_26, VPC-8, NULL
MGV-GENOME-0293003_37, VPC-1718, Myoviridae
MGV-GENOME-0301785_19, VPC-9, NULL
MGV-GENOME-0250694_3, VPC-8, NULL
MGV-GENOME-0223056_22, VPC-268, NULL
MGV-GENOME-0244539_4, VPC-502, NULL
MGV-GENOME-0305184_33, VPC-287, NULL
MGV-GENOME-0175923_17, VPC-9, Siphoviridae
MGV-GENOME-0293530_38, VPC-9, Siphoviridae
MGV-GENOME-0141516_30, VPC-287, NULL
MGV-GENOME-0239764_26, VPC-287, NULL
MGV-GENOME-0227119_26, VPC-8, NULL
MGV-GENOME-0101406_11, VPC-2755, Siphoviridae
MGV-GENOME-0352174_27, VPC-8, Siphoviridae
MGV-GENOME-0204354_35, VPC-5147, Siphoviridae
MGV-GENOME-0183705_26, VPC-562, NULL
MGV-GENOME-0303746_34, VPC-283, Siphoviridae
MGV-GENOME-0347018_41, VPC-152, NULL
MGV-GENOME-0366599_36, VPC-9, NULL
MGV-GENOME-0307406_20, VPC-1988, Siphoviridae
MGV-GENOME-0308350_33, VPC-27, Myoviridae
MGV-GENOME-0188595_23, VPC-283, Siphoviridae
MGV-GENOME-0242835_28, VPC-2734, Siphoviridae
MGV-GENOME-0284107_34, VPC-152, NULL
MGV-GENOME-0250952_15, VPC-2734, Siphoviridae
MGV-GENOME-0211018_52, VPC-9, Siphoviridae
MGV-GENOME-0251699_29, VPC-283, Siphoviridae
MGV-GENOME-4407324_18, VPC-8, Siphoviridae
MGV-GENOME-0131656_23, VPC-1387, Siphoviridae
MGV-GENOME-0365235_88, VPC-3444, NULL
MGV-GENOME-0322916_45, VPC-152, NULL
MGV-GENOME-0160934_24, VPC-1988, Siphoviridae
MGV-GENOME-0325838_32, VPC-1964, Myoviridae
MGV-GENOME-0158114_10, VPC-8, Siphoviridae
MGV-GENOME-0278848_41, VPC-502, NULL
MGV-GENOME-0247368_39, VPC-8, Siphoviridae
MGV-GENOME-0224438_31, VPC-8, NULL
MGV-GENOME-0345143_25, VPC-484, NULL
MGV-GENOME-0213720_29, VPC-787, Siphoviridae
MGV-GENOME-0245669_18, VPC-7371, NULL
MGV-GENOME-0320901_36, VPC-27, NULL
MGV-GENOME-0274322_16, VPC-358, NULL
MGV-GENOME-0262128_30, VPC-287, NULL
MGV-GENOME-0202552_38, VPC-8, NULL
MGV-GENOME-0257751_27, VPC-1589, NULL
MGV-GENOME-0298558_9, VPC-484, NULL
MGV-GENOME-4411523_13, VPC-885, Myoviridae
MGV-GENOME-0170028_26, VPC-8, NULL
MGV-GENOME-0269877_24, VPC-713, Siphoviridae
MGV-GENOME-0228247_42, VPC-8, NULL
MGV-GENOME-0332073_11, VPC-69, Siphoviridae
MGV-GENOME-0267508_32, VPC-287, NULL
MGV-GENOME-0303945_35, VPC-562, NULL
MGV-GENOME-0200743_23, VPC-8, Siphoviridae
MGV-GENOME-4414545_29, VPC-744, Siphoviridae
MGV-GENOME-0266993_32, VPC-744, Siphoviridae
MGV-GENOME-0157401_27, VPC-283, Siphoviridae
MGV-GENOME-0191610_3, VPC-358, Siphoviridae
MGV-GENOME-0196148_13, VPC-9, NULL
MGV-GENOME-0334938_28, VPC-152, NULL
MGV-GENOME-0183643_4, VPC-358, Siphoviridae
MGV-GENOME-0101321_15, VPC-8, Siphoviridae
MGV-GENOME-0253310_12, VPC-30315, Siphoviridae
MGV-GENOME-0370268_79, VPC-484, NULL
MGV-GENOME-0261022_43, VPC-69, Siphoviridae
MGV-GENOME-0313089_40, VPC-358, Siphoviridae
MGV-GENOME-0296664_33, VPC-562, NULL
MGV-GENOME-0352371_25, VPC-2734, Siphoviridae
MGV-GENOME-0211658_13, VPC-9, Siphoviridae
MGV-GENOME-0230435_25, VPC-8, NULL
MGV-GENOME-0174572_19, VPC-9, Siphoviridae
MGV-GENOME-0218229_30, VPC-27, Myoviridae
MGV-GENOME-0189361_30, VPC-8, Siphoviridae
MGV-GENOME-0274978_37, VPC-358, Siphoviridae
MGV-GENOME-0305635_35, VPC-42409, Siphoviridae
MGV-GENOME-0206865_28, VPC-8, NULL
MGV-GENOME-0264825_25, VPC-9, NULL
MGV-GENOME-0193389_20, VPC-885, Myoviridae
MGV-GENOME-0270424_44, VPC-27, Myoviridae
MGV-GENOME-0324069_13, VPC-13764, Siphoviridae
MGV-GENOME-0347900_33, VPC-1589, NULL
MGV-GENOME-0190446_20, VPC-713, Siphoviridae
MGV-GENOME-0194764_14, VPC-744, Siphoviridae
MGV-GENOME-0321958_25, VPC-9, NULL
MGV-GENOME-0277777_28, VPC-885, NULL
MGV-GENOME-0299400_65, VPC-69, Siphoviridae
MGV-GENOME-0301691_4, VPC-69, Siphoviridae
MGV-GENOME-0180850_30, VPC-502, NULL
MGV-GENOME-0299939_30, VPC-69, Siphoviridae
MGV-GENOME-0326218_32, VPC-152, NULL
MGV-GENOME-0356350_32, VPC-9, Siphoviridae
MGV-GENOME-0237374_24, VPC-287, NULL
MGV-GENOME-0168909_18, VPC-20864, NULL
MGV-GENOME-0319701_50, VPC-484, NULL
MGV-GENOME-0280120_35, VPC-3454, Myoviridae
MGV-GENOME-0291326_41, VPC-9, NULL
MGV-GENOME-0326540_85, VPC-9, Siphoviridae
MGV-GENOME-0192550_31, VPC-9, NULL
MGV-GENOME-0253406_16, VPC-787, Siphoviridae
MGV-GENOME-0299576_41, VPC-656, Myoviridae
MGV-GENOME-0222693_23, VPC-502, Myoviridae
MGV-GENOME-0376144_47, VPC-152, NULL
MGV-GENOME-0271831_22, VPC-307, Siphoviridae
MGV-GENOME-0240584_20, VPC-307, Siphoviridae
MGV-GENOME-0162807_26, VPC-8, NULL
MGV-GENOME-0292211_30, VPC-562, NULL
MGV-GENOME-0175853_6, VPC-307, Siphoviridae
MGV-GENOME-0278217_41, VPC-744, NULL
MGV-GENOME-0261765_31, VPC-287, NULL
MGV-GENOME-0298782_26, VPC-9, NULL
MGV-GENOME-0220525_23, VPC-713, Siphoviridae
MGV-GENOME-0367533_81, VPC-3444, NULL
MGV-GENOME-0351914_33, VPC-287, NULL
MGV-GENOME-0330597_22, VPC-502, NULL
MGV-GENOME-0221300_23, VPC-8, NULL
MGV-GENOME-0303677_29, VPC-27, Myoviridae
MGV-GENOME-0254228_27, VPC-69, Siphoviridae
MGV-GENOME-0204534_15, VPC-287, NULL
MGV-GENOME-0159777_23, VPC-307, Siphoviridae
MGV-GENOME-0194585_19, VPC-2734, Siphoviridae
MGV-GENOME-0179534_5, VPC-11010, Siphoviridae
MGV-GENOME-0282982_28, VPC-1916, NULL
MGV-GENOME-0255992_49, VPC-4560, Siphoviridae
MGV-GENOME-0229818_14, VPC-27, Myoviridae
MGV-GENOME-0307299_43, VPC-358, NULL
MGV-GENOME-0165489_14, VPC-3984, Siphoviridae
MGV-GENOME-0325764_36, VPC-152, NULL
MGV-GENOME-0317372_9, VPC-9, NULL
MGV-GENOME-0154522_11, VPC-3984, Siphoviridae
MGV-GENOME-0221875_28, VPC-27, Myoviridae
MGV-GENOME-0272234_27, VPC-713, Siphoviridae
MGV-GENOME-0290271_21, VPC-744, NULL
MGV-GENOME-0308089_18, VPC-744, Siphoviridae
MGV-GENOME-0295809_40, VPC-27, Myoviridae
MGV-GENOME-0276549_35, VPC-13557, Siphoviridae
MGV-GENOME-0270874_30, VPC-283, Siphoviridae
MGV-GENOME-0275590_49, VPC-8543, Siphoviridae
MGV-GENOME-0246034_27, VPC-8, NULL
MGV-GENOME-0301054_30, VPC-1718, Myoviridae
MGV-GENOME-0181122_31, VPC-283, Siphoviridae
MGV-GENOME-0267821_31, VPC-283, Siphoviridae
MGV-GENOME-0286964_37, VPC-27, Myoviridae
MGV-GENOME-0353625_82, VPC-4562, NULL
MGV-GENOME-0230977_15, VPC-4196, NULL
MGV-GENOME-0252479_24, VPC-502, Myoviridae
MGV-GENOME-0368281_73, VPC-484, NULL
MGV-GENOME-0186952_18, VPC-307, Siphoviridae
MGV-GENOME-0285273_43, VPC-69, Siphoviridae
MGV-GENOME-0346171_47, VPC-1964, NULL
MGV-GENOME-0294240_26, VPC-562, NULL
MGV-GENOME-0331477_65, VPC-5791, NULL
MGV-GENOME-0275127_39, VPC-27, NULL
MGV-GENOME-0320135_37, VPC-9, NULL
MGV-GENOME-0370017_27, VPC-69031, NULL
MGV-GENOME-0224785_3, VPC-787, Siphoviridae
MGV-GENOME-0198389_19, VPC-283, Siphoviridae
MGV-GENOME-0209018_17, VPC-656, Myoviridae
MGV-GENOME-0286279_12, VPC-502, NULL
MGV-GENOME-0296613_20, VPC-27, NULL
MGV-GENOME-0212671_10, VPC-1964, NULL
MGV-GENOME-0327460_67, VPC-9, Siphoviridae
MGV-GENOME-0301586_25, VPC-2734, Siphoviridae
MGV-GENOME-0151143_4, VPC-8, Siphoviridae
MGV-GENOME-0145778_20, VPC-1219, NULL
MGV-GENOME-0291714_24, VPC-14655, Siphoviridae
MGV-GENOME-0311501_64, VPC-268, NULL
MGV-GENOME-0031352_1, VPC-2755, Siphoviridae
MGV-GENOME-0313628_7, VPC-27, Myoviridae
MGV-GENOME-0209996_17, VPC-358, Siphoviridae
MGV-GENOME-0188925_22, VPC-307, Siphoviridae
MGV-GENOME-0305814_15, VPC-69, Siphoviridae
MGV-GENOME-0206515_22, VPC-287, NULL
MGV-GENOME-0361746_45, VPC-152, NULL
MGV-GENOME-0171815_17, VPC-5885, NULL
MGV-GENOME-0336383_36, VPC-69, Siphoviridae
MGV-GENOME-0276196_31, VPC-1988, Siphoviridae
MGV-GENOME-0295744_27, VPC-885, Myoviridae
MGV-GENOME-0343306_29, VPC-744, Siphoviridae
MGV-GENOME-0366919_95, VPC-9, NULL
MGV-GENOME-0295853_18, VPC-13557, Siphoviridae
MGV-GENOME-0284201_10, VPC-9, NULL
MGV-GENOME-0191532_13, VPC-562, Myoviridae
MGV-GENOME-0317768_22, VPC-69, Siphoviridae
MGV-GENOME-0284058_65, VPC-69, Siphoviridae
MGV-GENOME-0243933_36, VPC-713, Siphoviridae
MGV-GENOME-0308388_23, VPC-1964, Myoviridae
MGV-GENOME-0244853_54, VPC-283, Siphoviridae
MGV-GENOME-0293970_11, VPC-9, Siphoviridae
MGV-GENOME-0330260_37, VPC-9, Siphoviridae
MGV-GENOME-0335590_17, VPC-283, Siphoviridae
MGV-GENOME-0284917_14, VPC-3454, Myoviridae
MGV-GENOME-0308271_25, VPC-713, Siphoviridae
MGV-GENOME-0301108_37, VPC-502, NULL
MGV-GENOME-0284933_44, VPC-713, Siphoviridae
MGV-GENOME-0280828_38, VPC-9, NULL
MGV-GENOME-0143674_17, VPC-2734, Siphoviridae
MGV-GENOME-0291043_7, VPC-138157, NULL
MGV-GENOME-0335205_71, VPC-12417, NULL
MGV-GENOME-0144652_16, VPC-787, Siphoviridae
MGV-GENOME-0332527_23, VPC-885, NULL
MGV-GENOME-0272004_39, VPC-9, NULL
MGV-GENOME-0141356_28, VPC-787, Siphoviridae
MGV-GENOME-0099909_5, VPC-12361, NULL
MGV-GENOME-0353285_36, VPC-885, Myoviridae
MGV-GENOME-0202535_48, VPC-16679, Siphoviridae
MGV-GENOME-0182277_14, VPC-1387, Siphoviridae
MGV-GENOME-0147462_5, VPC-307, Siphoviridae
MGV-GENOME-0265813_25, VPC-502, Myoviridae
MGV-GENOME-0247061_40, VPC-287, NULL
MGV-GENOME-0329496_43, VPC-27, Myoviridae
MGV-GENOME-0288707_29, VPC-562, NULL
MGV-GENOME-0245496_30, VPC-27, Myoviridae
MGV-GENOME-0123490_3, VPC-283, Siphoviridae
MGV-GENOME-0225381_29, VPC-27, Myoviridae
MGV-GENOME-0270505_42, VPC-502, Myoviridae
MGV-GENOME-0209764_14, VPC-562, NULL
MGV-GENOME-0297009_33, VPC-562, NULL
MGV-GENOME-0241364_31, VPC-2734, NULL
MGV-GENOME-0310575_44, VPC-27, Myoviridae
MGV-GENOME-0179421_8, VPC-287, NULL
MGV-GENOME-0268621_32, VPC-287, NULL
MGV-GENOME-0317069_30, VPC-27, NULL
MGV-GENOME-0193961_15, VPC-27, Myoviridae
MGV-GENOME-0291693_23, VPC-69, Siphoviridae
MGV-GENOME-0189181_20, VPC-13033, Siphoviridae
MGV-GENOME-0239429_38, VPC-8406, Siphoviridae
MGV-GENOME-0265302_45, VPC-69, Siphoviridae
MGV-GENOME-0281988_29, VPC-8, NULL
MGV-GENOME-0306191_38, VPC-9, Siphoviridae
MGV-GENOME-0227489_40, VPC-713, Siphoviridae
MGV-GENOME-0176042_1, VPC-20126, Siphoviridae
MGV-GENOME-0175529_2, VPC-885, NULL
MGV-GENOME-0188835_11, VPC-502, Myoviridae
MGV-GENOME-0282118_23, VPC-656, Myoviridae
MGV-GENOME-0298099_29, VPC-656, Myoviridae
MGV-GENOME-0231410_3, VPC-8, NULL
MGV-GENOME-0324900_33, VPC-4562, NULL
MGV-GENOME-0106671_24, VPC-2755, Siphoviridae
MGV-GENOME-0285393_41, VPC-562, Myoviridae
MGV-GENOME-0214625_28, VPC-17246, NULL
MGV-GENOME-0333317_19, VPC-69, Siphoviridae
MGV-GENOME-0200043_27, VPC-9, NULL
MGV-GENOME-0328994_27, VPC-484, NULL
MGV-GENOME-0184114_3, VPC-5147, Siphoviridae
MGV-GENOME-0326919_71, VPC-69, Siphoviridae
MGV-GENOME-0209180_9, VPC-27, Myoviridae
MGV-GENOME-0245079_26, VPC-283, Siphoviridae
MGV-GENOME-0323023_35, VPC-16128, Myoviridae
MGV-GENOME-0152460_2, VPC-287, Siphoviridae
MGV-GENOME-0345801_54, VPC-744, NULL
MGV-GENOME-0306329_20, VPC-27, Myoviridae
MGV-GENOME-0257650_17, VPC-787, Siphoviridae
MGV-GENOME-0301924_29, VPC-27, Myoviridae
MGV-GENOME-0267905_38, VPC-5147, NULL
MGV-GENOME-0196135_32, VPC-656, Myoviridae
MGV-GENOME-0165745_18, VPC-283, Siphoviridae
MGV-GENOME-0327007_34, VPC-152, NULL
MGV-GENOME-0341328_45, VPC-27, Myoviridae
MGV-GENOME-0157682_14, VPC-8, Siphoviridae
MGV-GENOME-0300985_66, VPC-885, Myoviridae
MGV-GENOME-0215348_13, VPC-1387, NULL
MGV-GENOME-0337423_12, VPC-484, NULL
MGV-GENOME-0188040_16, VPC-6045, Siphoviridae
MGV-GENOME-0209177_30, VPC-27, Myoviridae
MGV-GENOME-0302920_59, VPC-1718, Myoviridae
MGV-GENOME-0325584_30, VPC-152, NULL
MGV-GENOME-0199411_9, VPC-8543, Siphoviridae
MGV-GENOME-0166172_19, VPC-283, Siphoviridae
MGV-GENOME-0095044_11, VPC-158300, Siphoviridae
MGV-GENOME-0126354_15, VPC-46078, Siphoviridae
MGV-GENOME-0308616_8, VPC-502, Myoviridae
MGV-GENOME-0150128_6, VPC-1219, Siphoviridae
MGV-GENOME-0168907_22, VPC-53357, NULL
MGV-GENOME-0193995_16, VPC-502, NULL
MGV-GENOME-0296708_11, VPC-713, Siphoviridae
MGV-GENOME-0125139_16, VPC-8, Siphoviridae
MGV-GENOME-0298648_40, VPC-7708, NULL
MGV-GENOME-0270099_4, VPC-502, NULL
MGV-GENOME-0260813_50, VPC-33589, NULL
MGV-GENOME-0334601_77, VPC-9, NULL
MGV-GENOME-0292186_2, VPC-9, NULL
MGV-GENOME-0325253_75, VPC-9, NULL
MGV-GENOME-0357434_43, VPC-152, NULL
MGV-GENOME-0151890_21, VPC-713, Siphoviridae
MGV-GENOME-0323104_13, VPC-885, Myoviridae
MGV-GENOME-0292123_52, VPC-484, NULL
MGV-GENOME-0282070_34, VPC-3984, Siphoviridae
MGV-GENOME-0183197_14, VPC-1916, Siphoviridae
MGV-GENOME-0196458_11, VPC-20054, Siphoviridae
MGV-GENOME-0276683_56, VPC-358, Siphoviridae
MGV-GENOME-4373993_23, VPC-1988, Siphoviridae
MGV-GENOME-0177422_6, VPC-8, NULL
MGV-GENOME-0244111_27, VPC-1988, Siphoviridae
MGV-GENOME-0265753_40, VPC-656, Myoviridae
MGV-GENOME-0194966_12, VPC-307, Siphoviridae
MGV-GENOME-0131668_17, VPC-8, NULL
MGV-GENOME-0253473_17, VPC-1718, Myoviridae
MGV-GENOME-0208116_14, VPC-787, Siphoviridae
MGV-GENOME-0215617_29, VPC-3454, Myoviridae
MGV-GENOME-0244987_29, VPC-787, Siphoviridae
MGV-GENOME-0193129_30, VPC-27, NULL
MGV-GENOME-0334536_8, VPC-69, Siphoviridae
MGV-GENOME-0203063_14, VPC-713, Siphoviridae
MGV-GENOME-0319219_59, VPC-4562, NULL
MGV-GENOME-0250010_15, VPC-69, Siphoviridae
MGV-GENOME-0183661_5, VPC-8406, Siphoviridae
MGV-GENOME-0227151_36, VPC-713, Siphoviridae
MGV-GENOME-0308906_36, VPC-27, Myoviridae
MGV-GENOME-0281455_28, VPC-358, NULL
MGV-GENOME-0191804_25, VPC-8, NULL
MGV-GENOME-0319818_22, VPC-13764, Siphoviridae
MGV-GENOME-0302936_24, VPC-9, Siphoviridae
MGV-GENOME-0292759_45, VPC-9, NULL
MGV-GENOME-0339619_24, VPC-9, NULL
MGV-GENOME-0370302_96, VPC-9, NULL
MGV-GENOME-0279417_26, VPC-3454, Myoviridae
MGV-GENOME-0178653_12, VPC-8, Siphoviridae
MGV-GENOME-0305207_25, VPC-656, Myoviridae
MGV-GENOME-0206991_3, VPC-27, Myoviridae
MGV-GENOME-0238071_24, VPC-2734, NULL
MGV-GENOME-0369764_99, VPC-3444, NULL
MGV-GENOME-0207500_34, VPC-27, Myoviridae
MGV-GENOME-0295795_46, VPC-9, Siphoviridae
MGV-GENOME-0186023_3, VPC-283, Siphoviridae
MGV-GENOME-0223863_17, VPC-8, NULL
MGV-GENOME-0237284_39, VPC-358, Siphoviridae
MGV-GENOME-0214404_7, VPC-152, NULL
MGV-GENOME-0215543_24, VPC-1219, Siphoviridae
MGV-GENOME-0320551_12, VPC-69, Siphoviridae
MGV-GENOME-0310595_29, VPC-268, NULL
MGV-GENOME-0340415_85, VPC-502, NULL
MGV-GENOME-0214570_19, VPC-5885, NULL
MGV-GENOME-0221341_24, VPC-358, Siphoviridae
MGV-GENOME-0225792_15, VPC-8, Siphoviridae
MGV-GENOME-0220756_13, VPC-358, Siphoviridae
MGV-GENOME-0253029_21, VPC-562, NULL
MGV-GENOME-0220187_32, VPC-307, Siphoviridae
MGV-GENOME-0194619_14, VPC-1387, Siphoviridae
MGV-GENOME-0232002_24, VPC-268, NULL
MGV-GENOME-0224236_31, VPC-35584, NULL
MGV-GENOME-0217935_23, VPC-9, NULL
MGV-GENOME-0180534_22, VPC-283, Siphoviridae
MGV-GENOME-0225271_34, VPC-307, Siphoviridae
MGV-GENOME-0242097_33, VPC-787, Siphoviridae
MGV-GENOME-0191129_11, VPC-562, NULL
MGV-GENOME-0226093_31, VPC-268, Siphoviridae
MGV-GENOME-0243113_7, VPC-7708, NULL
MGV-GENOME-0292511_29, VPC-7708, Siphoviridae
MGV-GENOME-0204573_19, VPC-8, Siphoviridae
MGV-GENOME-0232829_35, VPC-885, Myoviridae
MGV-GENOME-0295184_48, VPC-9, NULL
MGV-GENOME-0303257_39, VPC-484, NULL
MGV-GENOME-0167320_13, VPC-307, Siphoviridae
MGV-GENOME-0288909_24, VPC-9, NULL
MGV-GENOME-0303472_34, VPC-27, Myoviridae
MGV-GENOME-0273086_50, VPC-358, Siphoviridae
MGV-GENOME-0148516_14, VPC-502, NULL
MGV-GENOME-0329471_34, VPC-152, NULL
MGV-GENOME-0177159_18, VPC-787, Siphoviridae
MGV-GENOME-0200029_23, VPC-8, Siphoviridae
MGV-GENOME-4427859_36, VPC-1589, Siphoviridae
MGV-GENOME-0320204_43, VPC-152, NULL
MGV-GENOME-0303164_55, VPC-27, Myoviridae
MGV-GENOME-4383489_9, VPC-307, Siphoviridae
MGV-GENOME-0158268_6, VPC-8, Siphoviridae
MGV-GENOME-0234716_28, VPC-287, NULL
MGV-GENOME-0175284_17, VPC-283, Siphoviridae
MGV-GENOME-0170450_15, VPC-9, NULL
MGV-GENOME-0365528_26, VPC-268, Siphoviridae
MGV-GENOME-0301162_25, VPC-283, Siphoviridae
MGV-GENOME-4427592_56, VPC-268, NULL
MGV-GENOME-0247148_30, VPC-885, Myoviridae
MGV-GENOME-0242952_17, VPC-283, Siphoviridae
MGV-GENOME-0175192_25, VPC-502, Myoviridae
MGV-GENOME-0323800_17, VPC-9, Siphoviridae
MGV-GENOME-0318947_39, VPC-656, Myoviridae
MGV-GENOME-0277831_39, VPC-27, Myoviridae
MGV-GENOME-0315115_41, VPC-268, NULL
MGV-GENOME-0273302_27, VPC-358, Siphoviridae
MGV-GENOME-0178865_22, VPC-283, Siphoviridae
MGV-GENOME-0265138_18, VPC-9, NULL
MGV-GENOME-0187835_12, VPC-287, Siphoviridae
MGV-GENOME-0174759_25, VPC-307, Siphoviridae
MGV-GENOME-0358900_136, VPC-9, NULL
MGV-GENOME-0177544_4, VPC-885, NULL
MGV-GENOME-0210581_28, VPC-502, NULL
MGV-GENOME-0211906_18, VPC-8, NULL
MGV-GENOME-0329821_40, VPC-27, Myoviridae
MGV-GENOME-0208833_28, VPC-27, Myoviridae
MGV-GENOME-0345789_81, VPC-484, NULL
MGV-GENOME-0235087_6, VPC-2734, Siphoviridae
MGV-GENOME-0284859_15, VPC-1387, Siphoviridae
MGV-GENOME-0315322_40, VPC-1387, NULL
MGV-GENOME-0298361_56, VPC-152, NULL
MGV-GENOME-0313583_36, VPC-27, Myoviridae
MGV-GENOME-0249538_15, VPC-12417, NULL
MGV-GENOME-0216640_31, VPC-307, Siphoviridae
MGV-GENOME-0319863_27, VPC-27, NULL
MGV-GENOME-0192878_18, VPC-713, NULL
MGV-GENOME-0311650_27, VPC-656, NULL
MGV-GENOME-0201280_30, VPC-287, NULL
MGV-GENOME-0306355_42, VPC-152, NULL
MGV-GENOME-0333092_48, VPC-9, Siphoviridae
MGV-GENOME-0208953_34, VPC-8, Siphoviridae
MGV-GENOME-0207493_27, VPC-1916, NULL
MGV-GENOME-0334994_91, VPC-9, NULL
MGV-GENOME-0187561_13, VPC-287, NULL
MGV-GENOME-0245288_13, VPC-268, NULL
MGV-GENOME-0159992_28, VPC-713, NULL
MGV-GENOME-0356828_53, VPC-9, NULL
MGV-GENOME-0287579_73, VPC-69, Siphoviridae
MGV-GENOME-0344237_13, VPC-69, Siphoviridae
MGV-GENOME-0195889_28, VPC-656, Myoviridae
MGV-GENOME-0170274_7, VPC-307, Siphoviridae
MGV-GENOME-0221516_33, VPC-8, NULL
MGV-GENOME-0146751_7, VPC-1988, NULL
MGV-GENOME-4404084_4, VPC-9, Siphoviridae
MGV-GENOME-0233213_16, VPC-14655, Siphoviridae
MGV-GENOME-0347260_38, VPC-152, NULL
MGV-GENOME-0185536_20, VPC-8, NULL
MGV-GENOME-0293895_42, VPC-744, Siphoviridae
MGV-GENOME-0200450_16, VPC-8, Siphoviridae
MGV-GENOME-0216284_35, VPC-69, Siphoviridae
MGV-GENOME-0252103_23, VPC-7295, Siphoviridae
MGV-GENOME-0271904_29, VPC-656, Myoviridae
MGV-GENOME-0158100_24, VPC-1219, Siphoviridae
MGV-GENOME-0186065_11, VPC-283, Siphoviridae
MGV-GENOME-0219522_22, VPC-562, Myoviridae
MGV-GENOME-0335468_50, VPC-27, Myoviridae
MGV-GENOME-0225862_2, VPC-8, NULL
MGV-GENOME-0330676_71, VPC-502, NULL
MGV-GENOME-0261161_17, VPC-562, Myoviridae
MGV-GENOME-0216562_17, VPC-4591, NULL
MGV-GENOME-0364379_46, VPC-152, NULL
MGV-GENOME-0300963_26, VPC-1219, Siphoviridae
MGV-GENOME-0307994_38, VPC-656, Myoviridae
MGV-GENOME-0274774_20, VPC-268, Siphoviridae
MGV-GENOME-0306793_3, VPC-787, Siphoviridae
MGV-GENOME-0258620_34, VPC-3984, Siphoviridae
MGV-GENOME-0345740_22, VPC-484, NULL
MGV-GENOME-0352445_36, VPC-9, NULL
MGV-GENOME-0359718_72, VPC-484, NULL
MGV-GENOME-0264919_23, VPC-358, Siphoviridae
MGV-GENOME-0196850_22, VPC-885, Myoviridae
MGV-GENOME-0352290_60, VPC-9, NULL
